,title,year,runtime_minutes,genres,average_rating,domestic_gross,foreign_gross,total_gross,genre_1,genre_2,genre_3
2022,'71,2014,99.0,"Action,Drama,Thriller",7.2,1300000.0,355000.0,1655000.0,Action,Drama,Thriller
1848,"1,000 Times Good Night",2013,117.0,"Drama,War",7.1,53900.0,0.0,53900.0,Drama,War,
280,10 Cloverfield Lane,2016,103.0,"Drama,Horror,Mystery",7.2,72100000.0,38100000.0,110200000.0,Drama,Horror,Mystery
1142,10 Years,2011,100.0,"Comedy,Drama,Romance",6.1,203000.0,0.0,203000.0,Comedy,Drama,Romance
2288,1001 Grams,2014,93.0,Drama,6.3,11000.0,0.0,11000.0,Drama,,
2940,102 Not Out,2018,102.0,"Comedy,Drama",7.5,1300000.0,10900000.0,12200000.0,Comedy,Drama,
1127,11-11-11,2011,90.0,"Horror,Mystery,Thriller",4.0,32800.0,5700000.0,5732800.0,Horror,Mystery,Thriller
577,12 Strong,2018,130.0,"Action,Drama,History",6.6,45800000.0,21600000.0,67400000.0,Action,Drama,History
1549,12 Years a Slave,2013,134.0,"Biography,Drama,History",8.1,56700000.0,131100000.0,187800000.0,Biography,Drama,History
777,127 Hours,2010,94.0,"Adventure,Biography,Drama",7.6,18300000.0,42400000.0,60700000.0,Adventure,Biography,Drama
617,13 Assassins,2010,141.0,"Action,Adventure,Drama",7.6,803000.0,16800000.0,17603000.0,Action,Adventure,Drama
1569,13 Sins,2014,93.0,"Horror,Thriller",6.3,13800.0,0.0,13800.0,Horror,Thriller,
642,14 Blades,2010,114.0,"Action,History,Thriller",6.4,0.0,3800000.0,3800000.0,Action,History,Thriller
1368,17 Girls,2011,86.0,Drama,6.0,15100.0,186000.0,201100.0,Drama,,
1220,1911,2011,121.0,"Action,Adventure,Drama",5.9,136000.0,0.0,136000.0,Action,Adventure,Drama
2122,"2 Autumns, 3 Winters",2013,91.0,Comedy,6.7,5800.0,0.0,5800.0,Comedy,,
896,2 Days in New York,2012,96.0,"Comedy,Drama,Romance",6.0,633000.0,1000000.0,1633000.0,Comedy,Drama,Romance
393,2 Guns,2013,109.0,"Action,Comedy,Crime",6.7,75600000.0,56300000.0,131900000.0,Action,Comedy,Crime
1878,2 States,2014,149.0,"Comedy,Drama,Romance",6.9,2200000.0,0.0,2200000.0,Comedy,Drama,Romance
1908,20 Feet from Stardom,2013,91.0,"Documentary,Music",7.4,4900000.0,0.0,4900000.0,Documentary,Music,
2152,"20,000 Days on Earth",2014,97.0,"Documentary,Drama,Music",7.5,280000.0,1800000.0,2080000.0,Documentary,Drama,Music
2591,20th Century Women,2016,119.0,"Comedy,Drama",7.3,5700000.0,0.0,5700000.0,Comedy,Drama,
354,21 Jump Street,2012,109.0,"Action,Comedy,Crime",7.2,138400000.0,63100000.0,201500000.0,Action,Comedy,Crime
270,22 Bullets,2010,117.0,"Action,Crime,Drama",6.7,0.0,21300000.0,21300000.0,Action,Crime,Drama
1790,22 Jump Street,2014,112.0,"Action,Comedy,Crime",7.0,191700000.0,139600000.0,331300000.0,Action,Comedy,Crime
1640,28 Hotel Rooms,2012,82.0,"Drama,Romance",5.8,18900.0,0.0,18900.0,Drama,Romance,
254,2:22,2017,98.0,Thriller,5.8,400.0,0.0,400.0,Thriller,,
1676,3 Days to Kill,2014,117.0,"Action,Drama,Thriller",6.2,30700000.0,21900000.0,52600000.0,Action,Drama,Thriller
2544,3 Generations,2015,92.0,Drama,5.8,156000.0,375000.0,531000.0,Drama,,
943,30 Minutes or Less,2011,83.0,"Action,Comedy,Crime",6.1,37100000.0,3500000.0,40600000.0,Action,Comedy,Crime
1071,360,2011,110.0,"Drama,Thriller",6.2,100000.0,1600000.0,1700000.0,Drama,Thriller,
2351,45 Years,2015,91.0,"Drama,Romance",7.1,4200000.0,0.0,4200000.0,Drama,Romance,
2154,47 Meters Down,2017,89.0,"Adventure,Drama,Horror",5.6,44300000.0,0.0,44300000.0,Adventure,Drama,Horror
474,47 Ronin,2013,128.0,"Action,Adventure,Drama",6.3,38400000.0,113400000.0,151800000.0,Action,Adventure,Drama
709,5 Days of War,2011,113.0,"Action,Drama,War",5.6,17500.0,0.0,17500.0,Action,Drama,War
2156,5 Flights Up,2014,88.0,"Comedy,Drama",6.2,1000000.0,0.0,1000000.0,Comedy,Drama,
1968,5 to 7,2014,95.0,"Comedy,Drama,Romance",7.1,163000.0,0.0,163000.0,Comedy,Drama,Romance
430,50/50,2010,77.0,Documentary,7.5,35000000.0,4200000.0,39200000.0,Documentary,,
429,50/50,2011,100.0,"Comedy,Drama,Romance",7.7,35000000.0,4200000.0,39200000.0,Comedy,Drama,Romance
2813,6 Below: Miracle on the Mountain,2017,98.0,"Adventure,Biography,Drama",5.7,14800.0,1100000.0,1114800.0,Adventure,Biography,Drama
279,6 Souls,2010,112.0,"Horror,Mystery,Thriller",6.1,0.0,852000.0,852000.0,Horror,Mystery,Thriller
1830,7 Boxes,2012,105.0,"Adventure,Crime,Drama",7.2,38100.0,267000.0,305100.0,Adventure,Crime,Drama
2806,7 Days in Entebbe,2018,107.0,"Action,Drama,History",5.8,3300000.0,5400000.0,8700000.0,Action,Drama,History
2137,99 Homes,2014,112.0,Drama,7.1,1400000.0,0.0,1400000.0,Drama,,
2923,A Bad Moms Christmas,2017,104.0,"Adventure,Comedy",5.5,72100000.0,58400000.0,130500000.0,Adventure,Comedy,
1435,A Beautiful Life,2011,124.0,"Drama,Romance",6.7,66200.0,0.0,66200.0,Drama,Romance,
2096,A Beautiful Planet,2016,46.0,Documentary,7.4,15500000.0,9400000.0,24900000.0,Documentary,,
787,A Better Life,2011,98.0,"Drama,Romance",7.2,1800000.0,0.0,1800000.0,Drama,Romance,
788,A Better Life,2011,110.0,Drama,6.6,1800000.0,0.0,1800000.0,Drama,,
1566,A Bigger Splash,2015,125.0,"Drama,Thriller",6.4,2000000.0,5500000.0,7500000.0,Drama,Thriller,
1586,A Bottle in the Gaza Sea,2010,100.0,Drama,7.2,5900.0,306000.0,311900.0,Drama,,
2237,A Brilliant Young Mind,2014,111.0,"Drama,Romance",7.2,172000.0,0.0,172000.0,Drama,Romance,
